order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Supplier Name,Supplier Email,Delivery Status,Stock Left,Auto Reorder,Reorder Quantity
ORD1000,2024-08-15,2024-08-22,CUST321,Mr. Timothy Jones,Home Office,PROD1753,Sugar,Grocery,North,Georgia,Kimview,6,4324,15,3681.4,2749.46,931.94,UPI,Robinson-Spence,dave12@nelson.com,Cancelled,14,No,0
ORD1001,2024-10-16,2024-10-21,CUST559,Ashley Lawrence,Corporate,PROD7870,Sugar,Grocery,South,Utah,Jamestown,1,415,0,416.0,317.24,98.76,UPI,Strong LLC,smithvictoria@miller.com,Cancelled,17,No,0
ORD1002,2025-08-08,2025-08-11,CUST996,Ryan Rowland,Consumer,PROD2698,Dining Table,Furniture,South,South Dakota,Jennifermouth,8,1524,5,1455.8,1198.07,257.73,Credit Card,Jordan-Phillips,patrick14@rodriguez.info,Pending,49,No,0
ORD1003,2025-11-10,2025-11-14,CUST280,Nicholas Myers,Home Office,PROD1084,Mouse,Electronics,East,New York,Hannafurt,2,3718,20,2976.4,2011.77,964.63,Credit Card,Frey and Sons,nguyendanielle@mckay.com,Pending,37,No,0
ORD1004,2025-03-10,2025-03-17,CUST758,Jeffery Lambert,Consumer,PROD1572,Stapler,Office Supplies,West,Colorado,Melissaberg,2,956,20,766.8,504.08,262.72,Net Banking,Bennett-Roberts,dylanhoward@preston-mullins.biz,Returned,23,No,0
ORD1005,2024-09-06,2024-09-12,CUST598,Brittany Casey,Consumer,PROD9150,File Folder,Office Supplies,West,North Dakota,East Elizabethberg,6,628,15,539.8,446.28,93.52,UPI,Buck Ltd,greenmark@mcknight.com,Returned,20,No,0
ORD1006,2026-01-22,2026-01-28,CUST219,Megan Cantu,Home Office,PROD1191,Laptop,Electronics,West,Maine,West Michealhaven,6,4463,0,4469.0,3950.83,518.17,Net Banking,Callahan-Kemp,michaelhansen@johnson.info,Returned,18,No,0
ORD1007,2026-01-22,2026-01-24,CUST997,Jordan Davis,Consumer,PROD3228,Laptop,Electronics,East,Massachusetts,Lake Cheryltown,1,3447,0,3448.0,3050.44,397.56,UPI,James-Allen,lparker@mitchell.com,Cancelled,36,No,0
ORD1008,2025-07-07,2025-07-11,CUST961,Kristen Juarez,Consumer,PROD9091,Monitor,Electronics,South,Utah,Wardburgh,2,3117,20,2495.6,2210.33,285.27,UPI,"Pearson, Browning and Coleman",pattondavid@wilson.com,Cancelled,23,No,0
ORD1009,2025-04-27,2025-05-02,CUST977,Christopher Mckinney,Corporate,PROD5564,Laptop,Electronics,South,Wisconsin,Kimberlyview,5,1812,10,1635.8,1052.84,582.96,Net Banking,"Brady, Huerta and Cooley",sarafoster@cooper.com,Returned,10,No,0
ORD1010,2025-10-16,2025-10-22,CUST640,Donna Walsh,Home Office,PROD5988,Calculator,Office Supplies,South,Arkansas,Lake Davidton,6,3912,20,3135.6,1978.25,1157.35,Net Banking,"Garcia, Diaz and Smith",imoore@moyer.info,Cancelled,13,No,0
ORD1011,2025-11-17,2025-11-23,CUST133,Jessica Costa,Corporate,PROD7135,Calculator,Office Supplies,East,Florida,North Jessicaville,4,619,10,561.1,422.99,138.11,Cash,Owens Ltd,williamsdiana@scott.com,Pending,7,Yes,25
ORD1012,2024-05-24,2024-05-27,CUST420,Karen Hatfield,Consumer,PROD6357,Keyboard,Electronics,East,Oklahoma,East Michaeltown,7,4346,20,3483.8,2133.43,1350.37,Cash,Maldonado PLC,kwilliams@king.com,Cancelled,7,Yes,39
ORD1013,2025-05-14,2025-05-17,CUST940,Nicholas Contreras,Consumer,PROD3400,Cooking Oil,Grocery,West,Oregon,Port Anthonymouth,3,3812,15,3243.2,2662.48,580.72,UPI,Lewis Group,prattmeghan@evans-rowe.com,Deivered,33,No,0
ORD1014,2026-02-10,2026-02-16,CUST941,Wanda Powell,Home Office,PROD4697,Mouse,Electronics,East,New Jersey,Ashleyfort,10,2304,5,2198.8,1494.92,703.88,Cash,Sullivan-Pruitt,johnsonjessica@thomas.com,Cancelled,34,No,0
ORD1015,2024-03-09,2024-03-16,CUST863,Mark Macias,Consumer,PROD9051,File Folder,Office Supplies,East,Texas,Robertville,9,1223,0,1232.0,916.12,315.88,Credit Card,Keith-Martinez,stephenvilla@jones-hendrix.net,Deivered,35,No,0
ORD1016,2024-07-01,2024-07-04,CUST617,Shawna Allen,Consumer,PROD7633,Rice Bag,Grocery,East,Kentucky,Thomaschester,2,3696,5,3513.2,2674.85,838.35,Credit Card,Gonzales-Pace,lori88@lowe.com,Pending,11,No,0
ORD1017,2024-03-04,2024-03-09,CUST387,Michael Torres,Home Office,PROD6916,Rice Bag,Grocery,East,North Carolina,Alexanderfurt,2,143,0,145.0,121.1,23.9,Net Banking,"James, Gardner and Ramirez",vwagner@wagner.net,Cancelled,45,No,0
ORD1018,2024-06-28,2024-06-30,CUST101,Sherry Hall,Consumer,PROD4861,Bookshelf,Furniture,North,Nevada,Sandrahaven,7,4605,15,3921.25,2369.48,1551.77,UPI,Jimenez Ltd,holdenmonique@miller-freeman.com,Cancelled,35,No,0
ORD1019,2024-08-21,2024-08-28,CUST331,William Bennett,Home Office,PROD2766,Cooking Oil,Grocery,North,Virginia,Angelastad,10,3400,0,3410.0,2323.89,1086.11,Credit Card,Garrison PLC,erica54@martin-smith.com,Returned,47,No,0
ORD1020,2025-08-29,2025-09-01,CUST314,Matthew Willis,Corporate,PROD4975,File Folder,Office Supplies,South,Georgia,West David,7,2221,15,1894.85,1440.73,454.12,UPI,Anderson-Armstrong,irodriguez@patton-murillo.com,Pending,47,No,0
ORD1021,2025-01-06,2025-01-10,CUST243,Stanley Norton,Corporate,PROD2078,Sofa,Furniture,South,Arizona,Port Arthur,9,2064,15,1763.4,1550.88,212.52,Cash,Burch-Brown,cynthiasharp@brown.com,Deivered,1,Yes,36
